Year ,Month,ICEN
2012,1,-0.15
2012,2,0.11
2012,3,0.47
2012,4,0.65
2012,5,0.94
2012,6,0.77
2012,7,0.5
2012,8,0.18
2012,9,-0.07
2012,10,-0.23
2012,11,-0.53
2012,12,-0.63
2013,1,-0.73
2013,2,-0.67
2013,3,-0.85
2013,4,-1.13
2013,5,-1.54
2013,6,-1.66
2013,7,-1.52
2013,8,-1.15
2013,9,-0.86
2013,10,-0.66
2013,11,-0.55
2013,12,-0.31
2014,1,-0.33
2014,2,-0.29
2014,3,-0.3
2014,4,0.25
2014,5,0.87
2014,6,1.21
2014,7,1.15
2014,8,0.9
2014,9,0.81
2014,10,0.77
2014,11,0.65
2014,12,0.37
2015,1,-0.06
2015,2,-0.18
2015,3,0.2
2015,4,0.88
2015,5,1.6
2015,6,2.1
2015,7,2.13
2015,8,2.15
2015,9,2.02
2015,10,2.23
2015,11,2.21
2015,12,2.06
2016,1,1.75
2016,2,1.45
2016,3,1.05
2016,4,0.77
2016,5,0.51
2016,6,0.42
2016,7,0.34
2016,8,0.35
2016,9,0.36
2016,10,0.31
2016,11,0.25
2016,12,0.47
2017,1,0.89
2017,2,1.29
2017,3,1.31
2017,4,0.92
2017,5,0.31
2017,6,-0.13
2017,7,-0.32
2017,8,-0.52
2017,9,-0.69
2017,10,-0.97
2017,11,-1.21
2017,12,-1.3
2018,1,-1.25
2018,2,-1.21
2018,3,-1.16
2018,4,-1.07
2018,5,-0.84
2018,6,-0.61
2018,7,-0.46
2018,8,-0.24
2018,9,-0.09
2018,10,0.27
2018,11,0.63
2018,12,0.87
2019,1,0.78
2019,2,0.49
2019,3,0.31
2019,4,0.21
2019,5,0.05
2019,6,-0.28
2019,7,-0.6
2019,8,-0.72
2019,9,-0.74
2019,10,-0.53
2019,11,-0.3
2019,12,-0.18
2020,1,-0.14
2020,2,-0.14
2020,3,0.07
2020,4,0.02
2020,5,-0.2
2020,6,-0.72
2020,7,-1.02
2020,8,-1.19
2020,9,-1.02
2020,10,-0.91
2020,11,-0.76
2020,12,-0.79
2021,1,-0.84
2021,2,-0.83
2021,3,-0.86
2021,4,-0.83
2021,5,-0.7
2021,6,-0.46
2021,7,-0.3
2021,8,-0.41
2021,9,-0.62
2021,10,-0.9
2021,11,-1.23
2021,12,-1.31
2022,1,-1.46
2022,2,-1.14
2022,3,-1.24
2022,4,-1.26
2022,5,-1.51
2022,6,-1.44
2022,7,-1.09
2022,8,-0.93
2022,9,-1.12
2022,10,-1.3
2022,11,-1.1
2022,12,-0.7
2023,1,-0.17
2023,2,0.47
2023,3,1.53
2023,4,2.11
2023,5,2.45
2023,6,2.57
2023,7,2.92
2023,8,2.9
2023,9,2.68
2023,10,2.28
2023,11,2.01
2023,12,1.67
2024,1,1.34
2024,2,0.88
2024,3,0.38
2024,4,-0.38
2024,5,-0.78
2024,6,-0.97
2024,7,-0.72
2024,8,-0.65
2024,9,-0.5
2024,10,-0.34
2024,11,-0.1
2024,12,-0.11
